time,Network.R1.received_packet_length:vector
0.102771093332,102400
0.209778316706,102400
0.319588580958,102400
0.424188818637,102400
0.543340389417,102400
0.645626147164,102400
1.455532101723,0
1.455532101723,0
1.455532101723,0
1.455532101723,0
1.455532101723,0
1.455532101723,0
1.455532101723,0
1.455532101723,102400
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,102400
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,102400
4.048947989162,102400
4.253267024663,0
4.253267024663,102400
4.354976329068,102400
4.44923528685,102400
4.553093844488,102400
4.855266797623,0
4.855266797623,0
4.855266797623,102400
5.150951270821,0
5.150951270821,0
5.150951270821,102400
5.250645961925,102400
5.45585585073,0
5.45585585073,102400
5.551626248606,102400
5.651183952989,102400
5.738696484339,102400
5.826027655693,102400
5.912315440333,102400
6.015402211365,102400
6.117318662409,102400
6.212916553619,102400
6.30877161814,102400
6.404730769234,102400
6.506245384983,102400
6.604620062993,102400
6.702767157103,102400
6.802769344826,102400
6.903879769244,102400
7.005348066448,102400
7.103337317641,102400
7.205517033916,102400
7.312708204922,102400
7.42868065574,102400
7.541763746593,102400
8.353542821518,0
8.353542821518,0
8.353542821518,0
8.353542821518,0
8.353542821518,0
8.353542821518,0
8.353542821518,0
8.353542821518,102400
8.545408043707,0
8.545408043707,102400
8.652798494658,102400
8.755449265738,102400
8.953502807902,0
8.953502807902,102400
9.053377258998,102400
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,102400
10.246613178502,0
10.246613178502,102400
10.344448002978,102400
10.854871698099,0
10.854871698099,0
10.854871698099,0
10.854871698099,0
10.854871698099,102400
11.253737395689,0
11.253737395689,0
11.253737395689,0
11.253737395689,102400
11.352389313473,102400
11.444430031376,102400
