time,Network.R1.packet_delay:vector
0.102771093332,0.102771
0.209778316706,0.109778
0.319588580958,0.119589
0.424188818637,0.124189
0.543340389417,0.14334
0.645626147164,0.145626
1.455532101723,0
1.455532101723,0
1.455532101723,0
1.455532101723,0
1.455532101723,0
1.455532101723,0
1.455532101723,0
1.455532101723,0.155532
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0.152509
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0.155882
4.048947989162,0.148948
4.253267024663,0
4.253267024663,0.153267
4.354976329068,0.154976
4.44923528685,0.149235
4.553093844488,0.153094
4.855266797623,0
4.855266797623,0
4.855266797623,0.155267
5.150951270821,0
5.150951270821,0
5.150951270821,0.150951
5.250645961925,0.150646
5.45585585073,0
5.45585585073,0.155856
5.551626248606,0.151626
5.651183952989,0.151184
5.738696484339,0.138696
5.826027655693,0.126028
5.912315440333,0.112315
6.015402211365,0.115402
6.117318662409,0.117319
6.212916553619,0.112917
6.30877161814,0.108772
6.404730769234,0.104731
6.506245384983,0.106245
6.604620062993,0.10462
6.702767157103,0.102767
6.802769344826,0.102769
6.903879769244,0.10388
7.005348066448,0.105348
7.103337317641,0.103337
7.205517033916,0.105517
7.312708204922,0.112708
7.42868065574,0.128681
7.541763746593,0.141764
8.353542821518,0
8.353542821518,0
8.353542821518,0
8.353542821518,0
8.353542821518,0
8.353542821518,0
8.353542821518,0
8.353542821518,0.153543
8.545408043707,0
8.545408043707,0.145408
8.652798494658,0.152798
8.755449265738,0.155449
8.953502807902,0
8.953502807902,0.153503
9.053377258998,0.153377
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0.154918
10.246613178502,0
10.246613178502,0.146613
10.344448002978,0.144448
10.854871698099,0
10.854871698099,0
10.854871698099,0
10.854871698099,0
10.854871698099,0.154872
11.253737395689,0
11.253737395689,0
11.253737395689,0
11.253737395689,0.153737
11.352389313473,0.152389
11.444430031376,0.14443
11.539828429229,0.139828
11.646343306919,0.146343
11.744898664769,0.144899
11.834157569393,0.134158
11.946341433653,0.146341
12.253334306798,0
12.253334306798,0
12.253334306798,0.153334
12.45442200878,0
12.45442200878,0.154422
13.154446446043,0
13.154446446043,0
13.154446446043,0
13.154446446043,0
13.154446446043,0
13.154446446043,0
13.154446446043,0.154446
13.34928777492,0
13.34928777492,0.149288
13.445466759489,0.145467
13.544452170624,0.144452
13.652673368307,0.152673
13.754904059421,0.154904
14.048622212846,0
14.048622212846,0
14.048622212846,0.148622
14.140182344165,0.140182
14.238614875357,0.138615
14.346984953007,0.146985
14.449485190784,0.149485
14.549101161926,0.149101
14.652788652996,0.152789
14.742868171012,0.142868
14.833586835601,0.133587
14.932713473391,0.132713
15.029949711245,0.12995
15.124621229155,0.124621
15.218026107067,0.118026
15.30890471836,0.108905
15.402730666666,0.102731
15.50323160757,0.103232
15.603765450856,0.103765
15.702769444911,0.102769
15.807274275071,0.107274
15.90421037269,0.10421
16.003841395535,0.103841
16.107546993256,0.107547
16.20722712109,0.107227
16.311831412078,0.111831
16.42249527634,0.122495
16.529651300712,0.129651
16.632670471735,0.13267
16.73278641613,0.132786
16.827367880601,0.127368
16.935241344877,0.135241
17.045554889065,0.145555
17.15593584655,0.155936
17.352439121978,0
17.352439121978,0.152439
17.455318346344,0.155318
17.849243324076,0
17.849243324076,0
17.849243324076,0
17.849243324076,0.149243
17.948800335174,0.1488
18.053380999561,0.153381
18.255862861709,0
18.255862861709,0.155863
18.354278299515,0.154278
18.449270057432,0.14927
18.554011388529,0.154011
18.655625439575,0.155625
18.752907917406,0.152908
19.354738010582,0
19.354738010582,0
19.354738010582,0
19.354738010582,0
19.354738010582,0
19.354738010582,0.154738
19.651758057279,0
19.651758057279,0
19.651758057279,0.151758
19.748036428437,0.148036
19.843594292996,0.143594
19.954831890574,0.154832
20.053167915062,0.153168
20.155812686145,0.155813
20.241433004163,0.141433
20.336210575382,0.136211
20.426098573358,0.126099
20.530668704405,0.130669
20.632661048837,0.132661
20.735052459966,0.135052
