time,Network.R1.packet_delay:vector
20.852992857503,0.152993
20.948495548698,0.148496
21.147429064052,0
21.147429064052,0.147429
21.251657115041,0.151657
21.553568681518,0
21.553568681518,0
21.553568681518,0.153569
21.653850092595,0.15385
21.753788810432,0.153789
22.154545734594,0
22.154545734594,0
22.154545734594,0
22.154545734594,0.154546
22.252219012329,0.152219
22.354482503331,0.154483
22.446530287857,0.14653
22.551255165478,0.151255
22.648544069847,0.148544
22.751772947558,0.151773
22.941583903198,0
22.941583903198,0.141584
23.033185821026,0.133186
23.139919205369,0.139919
23.226422963343,0.126423
23.308220721312,0.108221
23.4049821843,0.104982
23.509199968607,0.1092
23.622414366072,0.122414
23.736341350255,0.136341
23.849911721046,0.149912
23.953959558601,0.15396
24.043107769843,0.143108
24.135772407711,0.135772
24.228669792193,0.12867
24.314921683516,0.114922
24.408856268092,0.108856
24.511831412456,0.111831
24.607116716964,0.107117
24.716571327907,0.116571
24.825627405521,0.125627
24.926365776631,0.126366
25.036298094259,0.136298
25.254976676208,0
25.254976676208,0.154977
25.351315633982,0.151316
25.454634244959,0.154634
25.852055916039,0
25.852055916039,0
25.852055916039,0
25.852055916039,0.152056
25.95541711374,0.155417
26.045500738302,0.145501
26.137086282842,0.137086
26.234012760665,0.134013
26.335425798341,0.135426
26.42770947618,0.127709
26.520101607353,0.120102
26.628341818289,0.128342
26.73629509596,0.136295
26.835903067065,0.135903
26.946703651314,0.146704
27.053007995641,0.153008
27.155082500037,0.155083
27.254473031158,0.154473
27.653707715572,0
27.653707715572,0
27.653707715572,0
27.653707715572,0.153708
27.751168726745,0.151169
27.851832591162,0.151833
27.935144349238,0.135144
28.036526987017,0.136527
28.128621011549,0.128621
28.227938342688,0.127938
28.316079220546,0.116079
28.408674738426,0.108675
28.503656576317,0.103657
28.611479187321,0.111479
28.715669611731,0.11567
28.826042622704,0.126043
28.921289340592,0.121289
29.020666671756,0.120667
29.123961736057,0.123962
29.238114853557,0.138115
29.343376611167,0.143377
29.451325168802,0.151325
29.55303372652,0.153034
29.654186790901,0.154187
29.755115695292,0.155116
29.953258917374,0
29.953258917374,0.153259
